28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
430.0, 19.0, 302.0
431.0, 19.0, 304.0
432.0, 18.0, 302.0
433.0, 22.0, 298.0
434.0, 24.0, 296.0
435.0, 24.0, 296.0
435.0, 19.0, 297.0
436.0, 21.0, 297.0
437.0, 22.0, 299.0
438.0, 25.0, 296.0
439.0, 29.0, 297.0
440.0, 29.0, 297.0
440.0, 22.0, 295.0
441.0, 28.0, 300.0
442.0, 21.0, 301.0
443.0, 17.0, 306.0
444.0, 16.0, 303.0
445.0, 16.0, 303.0
445.0, 13.0, 307.0
446.0, 16.0, 304.0
447.0, 17.0, 299.0
448.0, 22.0, 290.0
449.0, 21.0, 287.0
450.0, 21.0, 289.0
450.0, 21.0, 289.0
451.0, 22.0, 284.0
452.0, 29.0, 291.0
453.0, 28.0, 292.0
454.0, 22.0, 289.0
455.0, 21.0, 291.0
455.0, 21.0, 291.0
456.0, 19.0, 293.0
457.0, 25.0, 295.0
458.0, 24.0, 291.0
459.0, 32.0, 289.0
460.0, 32.0, 289.0
460.0, 25.0, 291.0
461.0, 19.0, 301.0
462.0, 19.0, 302.0
463.0, 19.0, 303.0
464.0, 23.0, 300.0
465.0, 23.0, 300.0
465.0, 19.0, 308.0
466.0, 16.0, 307.0
467.0, 20.0, 307.0
468.0, 25.0, 304.0
469.0, 17.0, 301.0
470.0, 17.0, 301.0
470.0, 19.0, 306.0
471.0, 24.0, 307.0
472.0, 13.0, 303.0
473.0, 14.0, 306.0
474.0, 16.0, 309.0
475.0, 14.0, 306.0
475.0, 14.0, 306.0
476.0, 12.0, 309.0
477.0, 14.0, 313.0
478.0, 19.0, 315.0
479.0, 19.0, 312.0
480.0, 18.0, 308.0
480.0, 18.0, 308.0
481.0, 17.0, 305.0
482.0, 14.0, 304.0
483.0, 25.0, 307.0
484.0, 19.0, 302.0
485.0, 19.0, 302.0
485.0, 16.0, 310.0
486.0, 18.0, 306.0
487.0, 23.0, 312.0
488.0, 18.0, 311.0
489.0, 24.0, 308.0
490.0, 14.0, 312.0
490.0, 14.0, 312.0
491.0, 16.0, 315.0
492.0, 14.0, 308.0
493.0, 19.0, 309.0
494.0, 19.0, 301.0
495.0, 15.0, 298.0
495.0, 15.0, 298.0
496.0, 18.0, 296.0
497.0, 15.0, 294.0
498.0, 18.0, 294.0
499.0, 19.0, 291.0
500.0, 18.0, 287.0
500.0, 18.0, 287.0
501.0, 21.0, 286.0
502.0, 20.0, 290.0
503.0, 22.0, 284.0
504.0, 22.0, 288.0
505.0, 20.0, 291.0
505.0, 20.0, 291.0
506.0, 21.0, 299.0
507.0, 19.0, 298.0
508.0, 19.0, 297.0
509.0, 26.0, 302.0
510.0, 22.0, 299.0
510.0, 22.0, 299.0
511.0, 26.0, 303.0
512.0, 24.0, 301.0
513.0, 22.0, 300.0
514.0, 19.0, 301.0
515.0, 16.0, 299.0
